ID,Age,Income,Employment_Years,Married,Dependents,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,Debt_to_Income,Payment_History,Purpose_loan,Loan_Approval
620240001,44,31588.75153,13.68626623,0,0,151268.5663,20,739.1747092,2,0.13669597,1,Debt_Consolidation,1
620230002,21,56699.90368,12.58655399,0,0,112910.4687,5,801.0749933,0,0.475074682,1,Personal,1
620220003,27,54774.47251,7.22979985,0,4,206868.3582,15,550.5404998,1,0.261853483,1,Personal,1
620210004,39,43569.70729,4.045230597,1,4,121713.3163,15,777.4890631,1,0.273384749,1,Personal,1
620200005,48,101134.5458,9.39489051,1,4,225966.7931,30,650.0484976,1,0.383760943,0,Personal,1
620190006,48,56074.08274,5.84139659,0,0,183066.0759,30,609.9653033,2,0.495965107,1,Education,0
620180007,69,45635.24923,6.93369028,0,4,65465.05622,3,850,1,0.300962571,1,Debt_Consolidation,1
620170008,57,55829.05221,15.09433795,1,0,184859.6452,20,602.1362511,3,0.189503954,1,Debt_Consolidation,1
620160009,51,84793.75864,3.006746548,0,1,125913.586,30,494.0196027,2,0.235060429,1,Home,1
620150010,49,71155.04591,0,1,0,176456.2669,5,740.6343119,2,0.323025946,1,Home,1
620140011,21,23597.19759,7.445802314,1,4,107789.6752,30,638.985406,1,0.269029057,1,Debt_Consolidation,1
620130012,37,41973.74926,7.34489949,0,4,148393.6279,20,765.1033858,2,0.111256107,1,Business,1
620120013,40,50807.44184,10.95673791,0,1,109300.4326,30,698.346641,1,0.352621373,1,Personal,1
620110014,68,17499.5058,5.37840943,0,3,138752.8483,15,772.4800678,0,0.288159131,1,Personal,1
620100015,34,46538.46348,11.76424166,0,1,173040.2959,3,614.381864,1,0.348507636,0,Business,0
620090016,23,22599.63607,1.397659345,0,4,86915.89743,15,725.7162944,1,0.318527619,1,Education,1
620080017,32,78595.39246,16.26374852,1,0,224683.7633,30,539.7231022,2,0.303546698,1,Education,0
620070018,37,32078.3507,6.906959338,1,2,193233.4869,20,817.6551633,1,0.336164271,0,Business,1
620060019,20,17359.10125,1.40129591,0,1,39421.2848,30,775.798676,1,0.321145392,1,Business,1
620050020,43,72117.26949,11.70697046,0,0,180916.552,15,779.1796494,1,0.255020065,1,Education,1
620040021,67,95472.9518,7.921289257,0,3,146766.2591,10,819.5859157,0,0.500435055,0,Business,1
620030022,45,58952.99863,7.745999408,0,2,90428.86146,3,719.5195314,2,0.159761204,1,Debt_Consolidation,1
620020023,56,98154.65793,12.03886716,0,4,261945.7461,30,651.4546379,0,0.422195807,1,Home,1
620010024,40,28385.37214,9.004198693,1,3,1000,10,824.1169096,2,0,0,Education,1
620000025,58,45480.79733,11.32880027,0,4,217649.8784,15,826.341754,2,0.329158476,1,Personal,1
619990026,60,75753.71941,5.186015346,1,3,101161.778,30,785.4831947,1,0.192934459,1,Debt_Consolidation,1
619980027,18,81933.76267,10.13327905,1,2,133685.2962,20,573.605923,1,0.33014346,1,Personal,1
619970028,28,40176.71125,13.72332492,1,4,172094.4466,10,496.9203731,1,0.182219593,1,Education,1
619960029,22,72329.24586,14.11412353,1,0,173732.6763,7,819.6666438,0,0.484363839,1,Personal,1
619950030,29,46978.40837,4.02727096,0,0,125799.2651,30,707.0197792,1,0.287814203,1,Home,1
619940031,21,63733.90504,12.50634885,1,2,131488.2502,5,679.5949553,0,0.307135559,1,Education,1
619930032,36,56104.47361,11.4791669,1,4,139509.099,7,687.5695189,1,0.516842532,0,Debt_Consolidation,1
